id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,reviews total,pre 2014 reviews,post 2014 reviews
18896520,Commanding Views from Casa Alteza in Westlake Highlands,3414586,Rory,,78746,30.31754,-97.80702,Entire home/apt,489,2,33,2019-07-07,1.32,1,336,1,0,33
18908366,Open-Concept 1BR Cabin w/ Pool,109638288,TurnKey Vacation Rentals,,78733,30.342409999999997,-97.85647,Entire home/apt,266,2,6,2019-05-27,0.28,72,358,10,0,6
18909908,-20% Airstream Houseboat Amazing Lake Travis View,84745086,John Andrew,,78734,30.42166,-97.94543,Entire home/apt,111,1,52,2019-06-17,2.05,1,358,13,0,52
18913454,Elegant 1BR w/ Pool + Gym in Downtown Austin,131816044,Lyric,,78701,30.269779999999997,-97.75001,Entire home/apt,145,2,62,2019-06-17,2.56,10,278,2,0,62
18914680,Convenient 1BR w/ Pool in Downtown Austin,131816044,Lyric,,78701,30.271340000000002,-97.74839,Entire home/apt,144,2,55,2019-06-24,2.39,10,333,5,0,55
18914845,Prime 1BR w/ Pool + Gym in Downtown Austin,131816044,Lyric,,78701,30.271620000000002,-97.74792,Entire home/apt,155,2,61,2019-06-25,2.42,10,277,2,0,61
18915061,One Bedroom Domain Condo,22057376,Todd,,78758,30.4012,-97.72456,Entire home/apt,105,2,80,2019-06-26,3.09,1,62,6,0,80
18926427,Private 1BR/1BA | WiFi+ Gym | Downtown,131816044,Lyric,,78701,30.27115,-97.74976,Entire home/apt,135,2,42,2019-06-15,1.68,10,316,19,0,42
18926529,Nice 1BR w/ Pool + Gym in Downtown Austin,131816044,Lyric,,78701,30.270059999999997,-97.74947,Entire home/apt,142,2,65,2019-06-17,2.58,10,313,11,0,65
18930348,"Zen Oasis Betwn S. Congress/Lamar, minutes to ACL",34133801,Alex,,78704,30.24243,-97.76371999999999,Entire home/apt,109,2,43,2019-05-28,1.82,1,69,12,0,43
18936099,Relaxing Clarksville Townhome - Perfect Location!,21412692,Jon,,78703,30.283859999999997,-97.76103,Entire home/apt,75,1,185,2019-06-11,7.29,4,338,1,0,185
18941307,Stylish Loft on 6th St. Across from the Driskill,15782486,Top Trip Rentals,,78701,30.26659,-97.74202,Entire home/apt,435,1,95,2019-06-21,3.68,32,168,2,0,95
18946299,Central Austin Oasis in 78704,132086717,Corinne,,78704,30.251859999999997,-97.78763000000001,Entire home/apt,1000,2,1,2019-03-08,0.24,1,119,111,0,1
18957088,Casa Azul,132186386,Valerie,,78752,30.340809999999998,-97.71446999999999,Entire home/apt,75,30,9,2019-06-18,0.42,1,189,2,0,9
18962911,"Private Downtown Suite close to ACL, Zilker",834822,Abby,,78704,30.2535,-97.74656,Private room,75,2,14,2017-11-10,0.56,2,0,30,0,14
18970880,Luxury Modern Estate Home in Barton Creek,2947621,Krisstina,,78735,30.2791,-97.86459,Entire home/apt,1950,2,10,2019-06-14,0.47,2,160,162,0,10
18997849,"Charming, Eclectic Duplex with a Leafy Patio",2118226,Irma,,78757,30.36607,-97.72274,Entire home/apt,81,2,76,2019-06-05,3.05,2,320,4,0,76
19011922,Tree-Flanked Sanctuary Six Miles to Downtown Austin,80576828,Pete,,78758,30.364140000000003,-97.70285,Entire home/apt,249,3,54,2019-06-25,2.32,2,265,8,0,54
19012398,Peaceful 2 Bedroom 2 Bath Apartment Near Downtown,132645445,Lynn,,78741,30.239520000000002,-97.73109000000001,Entire home/apt,45,2,80,2019-07-01,3.12,2,14,51,0,80
19016460,"1BR Steps from Rainy, Perfect for SXSW",16380601,Michael,,78702,30.256909999999998,-97.73246999999999,Entire home/apt,449,3,1,2019-03-11,0.24,1,26,106,0,1
19016686,"Hyde Park Guest House, New & Very Private/Quiet",42610539,Gloria,,78751,30.30218,-97.71748000000001,Entire home/apt,105,2,58,2019-06-23,2.28,2,339,94,0,58
19016759,Comfortable Private Room in Downtown Luxury Condo,132678309,Kellen,,78701,30.281029999999998,-97.73993,Private room,79,1,31,2019-01-11,1.21,1,0,3,0,31
19017960,Beautiful Lake Travis Waterfront Retreat,132665147,Kimberly,,78734,30.416040000000002,-97.94277,Entire home/apt,489,3,112,2019-06-23,4.44,2,258,23,0,112
19019801,"Two Rooms w/ Private Bath, Very Comfortable",130926442,Quinn,,78749,30.21542,-97.85718,Private room,199,2,9,2018-04-29,0.36,3,0,8,0,9
19020085,2/1 House - Entire Place - 10 mins from Downtown.,130926442,Quinn,,78749,30.21733,-97.85914,Entire home/apt,350,3,5,2018-10-15,0.2,3,0,1,0,5
19020738,Quiet casita in the heart of the city,132726744,Victoria,,78703,30.27849,-97.75405,Private room,59,1,17,2018-12-09,0.78,1,0,2,0,17
19024293,Perfect South ATX location !,91516482,Belen,,78748,30.174909999999997,-97.79946,Entire home/apt,251,2,13,2017-11-12,0.52,1,0,2,0,13
19030405,"Comfortable room, 10 minutes to downtown!",34491986,Ethan,,78723,30.28983,-97.66920999999999,Private room,48,1,14,2019-06-15,0.86,2,364,1,0,14
19031423,Clarksville Hideaway,118565935,Renters Club,,78703,30.28227,-97.76288000000001,Entire home/apt,3270,3,1,2019-03-12,0.24,79,365,2,0,1
19032678,"WALK TO W 6th, SXSW Sweetheart of Clarksville",32777712,Lucy,,78703,30.284679999999998,-97.76337,Entire home/apt,85,2,43,2019-06-30,1.68,1,297,7,0,43
19033233,Comfort Retreat (Parisienne),105411733,Alllines,,78749,30.204179999999997,-97.85779000000001,Private room,80,2,2,2019-02-28,0.14,2,180,2,0,2
19035763,Experience Austin!  Great house w/ yard and deck!,28461613,Amy,,78702,30.278309999999998,-97.71074,Entire home/apt,450,2,13,2019-02-17,0.58,1,176,18,0,13
19038266,Hip Central Austin House w/ Queen Bed,22903590,Singer,,78752,30.32365,-97.71944,Entire home/apt,165,4,9,2018-05-20,0.42,2,22,75,0,9
19046404,Private room and bath in apartment by renter,108264667,Carla,,78705,30.291059999999998,-97.751,Private room,30,1,7,2017-07-26,0.28,1,0,10,0,7
19048873,Enchanting Mountain Home near Zilker Park ACL Fest,68115476,Brian,,78704,30.256940000000004,-97.77167,Entire home/apt,700,2,25,2019-07-07,1.02,1,247,10,0,25
